corrected yaw=0.10 , 0.10
yaw delta=0.10 , 0.10
corrected yaw=0.10 , 0.10
yaw delta=0.10 , 0.10
corrected yaw=0.10 , 0.09
yaw delta=0.09 , 0.09
corrected yaw=0.18 , 0.17
yaw delta=0.17 , 0.17
corrected yaw=0.25 , 0.23
yaw delta=0.23 , 0.23
corrected yaw=0.19 , 0.18
yaw delta=0.18 , 0.18
corrected yaw=0.15 , 0.14
yaw delta=0.14 , 0.14
corrected yaw=0.11 , 0.10
yaw delta=0.10 , 0.10
corrected yaw=0.16 , 0.15
yaw delta=0.15 , 0.15
corrected yaw=0.19 , 0.18
yaw delta=0.18 , 0.18
corrected yaw=0.20 , 0.19
yaw delta=0.19 , 0.19
corrected yaw=0.21 , 0.19
yaw delta=0.19 , 0.19
corrected yaw=0.22 , 0.20
yaw delta=0.20 , 0.20
corrected yaw=0.22 , 0.21
yaw delta=0.21 , 0.21
corrected yaw=0.23 , 0.21
yaw delta=0.21 , 0.21
corrected yaw=0.22 , 0.20
yaw delta=0.20 , 0.20
corrected yaw=0.21 , 0.19
yaw delta=0.19 , 0.19
corrected yaw=0.22 , 0.21
yaw delta=0.21 , 0.21
corrected yaw=0.24 , 0.23
yaw delta=0.23 , 0.23
corrected yaw=0.25 , 0.23
yaw delta=0.23 , 0.23
corrected yaw=0.23 , 0.22
yaw delta=0.22 , 0.22
corrected yaw=0.23 , 0.22
yaw delta=0.22 , 0.22
corrected yaw=0.28 , 0.26
yaw delta=0.26 , 0.26
corrected yaw=0.32 , 0.30
yaw delta=0.30 , 0.30
corrected yaw=0.32 , 0.30
yaw delta=0.30 , 0.30
corrected yaw=0.35 , 0.32
yaw delta=0.32 , 0.32
corrected yaw=0.36 , 0.34
yaw delta=0.34 , 0.34
corrected yaw=0.46 , 0.43
yaw delta=0.43 , 0.43
corrected yaw=0.55 , 0.51
yaw delta=0.51 , 0.51
corrected yaw=0.61 , 0.57
yaw delta=0.57 , 0.57
corrected yaw=0.68 , 0.63
yaw delta=0.63 , 0.63
corrected yaw=0.67 , 0.62
yaw delta=0.62 , 0.62
corrected yaw=0.68 , 0.64
yaw delta=0.64 , 0.64
corrected yaw=0.69 , 0.65
yaw delta=0.65 , 0.65
corrected yaw=0.73 , 0.68
yaw delta=0.68 , 0.68
corrected yaw=0.75 , 0.70
yaw delta=0.70 , 0.70
corrected yaw=0.81 , 0.75
yaw delta=0.75 , 0.75
corrected yaw=0.84 , 0.79
yaw delta=0.79 , 0.79
corrected yaw=0.81 , 0.76
yaw delta=0.76 , 0.76
corrected yaw=0.80 , 0.74
yaw delta=0.74 , 0.74
corrected yaw=0.78 , 0.73
yaw delta=0.73 , 0.73
corrected yaw=0.83 , 0.78
yaw delta=0.78 , 0.78
corrected yaw=0.86 , 0.81
yaw delta=0.81 , 0.81
corrected yaw=0.81 , 0.76
yaw delta=0.76 , 0.76
corrected yaw=0.78 , 0.73
yaw delta=0.73 , 0.73
corrected yaw=0.75 , 0.70
yaw delta=0.70 , 0.70
corrected yaw=0.73 , 0.68
yaw delta=0.68 , 0.68
corrected yaw=0.70 , 0.66
yaw delta=0.66 , 0.66
corrected yaw=0.61 , 0.57
yaw delta=0.57 , 0.57
corrected yaw=0.53 , 0.50
yaw delta=0.50 , 0.50
corrected yaw=0.53 , 0.50
yaw delta=0.50 , 0.50
corrected yaw=0.51 , 0.47
yaw delta=0.47 , 0.47
corrected yaw=0.48 , 0.45
yaw delta=0.45 , 0.45
corrected yaw=0.46 , 0.43
yaw delta=0.43 , 0.43
corrected yaw=0.45 , 0.42
yaw delta=0.42 , 0.42
corrected yaw=0.39 , 0.36
yaw delta=0.36 , 0.36
corrected yaw=0.34 , 0.31
yaw delta=0.31 , 0.31
corrected yaw=0.30 , 0.28
yaw delta=0.28 , 0.28
corrected yaw=0.26 , 0.24
yaw delta=0.24 , 0.24
corrected yaw=0.22 , 0.21
yaw delta=0.21 , 0.21
corrected yaw=0.19 , 0.18
yaw delta=0.18 , 0.18
corrected yaw=0.17 , 0.16
yaw delta=0.16 , 0.16
corrected yaw=0.17 , 0.16
yaw delta=0.16 , 0.16
corrected yaw=0.17 , 0.16
yaw delta=0.16 , 0.16
corrected yaw=0.17 , 0.16
yaw delta=0.16 , 0.16
corrected yaw=0.13 , 0.12
yaw delta=0.12 , 0.12
corrected yaw=0.10 , 0.09
yaw delta=0.09 , 0.09
corrected yaw=0.05 , 0.05
yaw delta=0.05 , 0.05
corrected yaw=0.01 , 0.01
yaw delta=0.01 , 0.01
corrected yaw=359.97 , 359.97
yaw delta=359.97 , 359.97
corrected yaw=359.98 , 359.98
yaw delta=359.98 , 359.98
corrected yaw=359.97 , 359.96
yaw delta=359.96 , 359.96
corrected yaw=359.96 , 359.95
yaw delta=359.95 , 359.95
corrected yaw=359.95 , 359.94
yaw delta=359.94 , 359.94
corrected yaw=359.98 , 359.98
yaw delta=359.98 , 359.98
corrected yaw=360.00 , 360.00
yaw delta=360.00 , 360.00
corrected yaw=0.02 , 0.02
yaw delta=0.02 , 0.02
corrected yaw=0.02 , 0.02
yaw delta=0.02 , 0.02
corrected yaw=0.02 , 0.02
yaw delta=0.02 , 0.02
corrected yaw=0.04 , 0.04
yaw delta=0.04 , 0.04
corrected yaw=0.06 , 0.05
yaw delta=0.05 , 0.05
corrected yaw=0.07 , 0.07
yaw delta=0.07 , 0.07
corrected yaw=0.16 , 0.15
yaw delta=0.15 , 0.15
corrected yaw=0.24 , 0.23
yaw delta=0.23 , 0.23
corrected yaw=0.22 , 0.20
yaw delta=0.20 , 0.20
corrected yaw=0.22 , 0.20
yaw delta=0.20 , 0.20
corrected yaw=0.27 , 0.25
yaw delta=0.25 , 0.25
corrected yaw=0.30 , 0.28
yaw delta=0.28 , 0.28
corrected yaw=0.34 , 0.32
yaw delta=0.32 , 0.32
corrected yaw=0.33 , 0.31
yaw delta=0.31 , 0.31
corrected yaw=0.34 , 0.32
yaw delta=0.32 , 0.32
corrected yaw=0.38 , 0.35
yaw delta=0.35 , 0.35
corrected yaw=0.41 , 0.38
yaw delta=0.38 , 0.38
corrected yaw=0.39 , 0.36
yaw delta=0.36 , 0.36
corrected yaw=0.39 , 0.37
yaw delta=0.37 , 0.37
corrected yaw=0.39 , 0.37
yaw delta=0.37 , 0.37
corrected yaw=0.39 , 0.36
yaw delta=0.36 , 0.36
corrected yaw=0.39 , 0.36
yaw delta=0.36 , 0.36
corrected yaw=0.43 , 0.41
yaw delta=0.41 , 0.41
corrected yaw=0.46 , 0.43
yaw delta=0.43 , 0.43
corrected yaw=0.49 , 0.46
yaw delta=0.46 , 0.46
corrected yaw=0.52 , 0.48
yaw delta=0.48 , 0.48
corrected yaw=0.54 , 0.51
yaw delta=0.51 , 0.51
corrected yaw=0.52 , 0.48
yaw delta=0.48 , 0.48
corrected yaw=0.51 , 0.48
yaw delta=0.48 , 0.48
corrected yaw=0.44 , 0.41
yaw delta=0.41 , 0.41
corrected yaw=0.37 , 0.34
yaw delta=0.34 , 0.34
corrected yaw=0.30 , 0.28
yaw delta=0.28 , 0.28
corrected yaw=0.28 , 0.27
yaw delta=0.27 , 0.27
corrected yaw=0.25 , 0.23
yaw delta=0.23 , 0.23
corrected yaw=0.23 , 0.21
yaw delta=0.21 , 0.21
corrected yaw=0.21 , 0.20
yaw delta=0.20 , 0.20
corrected yaw=0.21 , 0.19
yaw delta=0.19 , 0.19
corrected yaw=0.20 , 0.19
yaw delta=0.19 , 0.19
corrected yaw=0.19 , 0.18
yaw delta=0.18 , 0.18
corrected yaw=0.19 , 0.18
yaw delta=0.18 , 0.18
corrected yaw=0.20 , 0.18
yaw delta=0.18 , 0.18
corrected yaw=0.25 , 0.24
yaw delta=0.24 , 0.24
corrected yaw=0.30 , 0.28
yaw delta=0.28 , 0.28
corrected yaw=0.34 , 0.32
yaw delta=0.32 , 0.32
corrected yaw=0.32 , 0.30
yaw delta=0.30 , 0.30
corrected yaw=0.31 , 0.29
